Feature,SHAP_Importance
Active_Months,0.69355595
Recency_Months,0.64079875
Consistency_Score,0.6140856
Province_Enc,0.29851714
Gender_Enc,0.28397912
Total_Points_Red,0.2730147
Max_Flights_Month,0.26926053
Std_Flights,0.23541157
Marital_Enc,0.21933246
Edu_Rank,0.21129906
Recent_6M_Avg,0.2088506
Card_Rank,0.17763647
Tenure_Months,0.16471764
Total_Flights_Obs,0.16297658
Avg_Flights_Month,0.15609294
Seasonal_Diversity,0.15005614
Redemption_Ratio,0.14971918
Total_Dollar_Red,0.14825338
Activity_Trend,0.14683853
Salary,0.12359674
Travel_Momentum,0.10780572
Avg_Distance_Flight,0.09599915
Total_Points_Acc,0.09405814
Winter_Flights,0.09146894
Total_Distance,0.084572405
YoY_Change,0.042690046
Summer_Flights,0.04212848
